task_id,dataset,repetition,reference_correct,candidate_correct,same_content,reference_finish,candidate_finish,reference_tokens,candidate_tokens,latency_ratio_reference_over_candidate,tps_ratio_candidate_over_reference,reference_record,candidate_record,reference_sha256,candidate_sha256
HumanEval/0,humaneval_plus,0,True,True,True,stop,stop,177,177,0.9528709181355709,0.9528709181355709,results/baseline/concurrency-1/repeat-0/HumanEval_0.json,results/baseline/concurrency-4/repeat-0/HumanEval_0.json,36aabfe8fd27bc6ca9062a616a151d839a281449863abe57cb412c46cfb179ec,3f56a8bf8cfc1fcc059bc75279164edeaf0de3a63236f4beefe853398fea2cf5
HumanEval/1,humaneval_plus,0,True,True,True,stop,stop,230,230,0.96062623181164,0.96062623181164,results/baseline/concurrency-1/repeat-0/HumanEval_1.json,results/baseline/concurrency-4/repeat-0/HumanEval_1.json,aa5f9244e2d916efeff762ef3d8a9578af79f42af8eabe4f4aa5287d1353ce96,dd72ef6657dc59e09397f6897552d53b987f87491078614301b24c90f4e49598
HumanEval/2,humaneval_plus,0,True,True,True,stop,stop,97,97,0.9695305805822027,0.9695305805822027,results/baseline/concurrency-1/repeat-0/HumanEval_2.json,results/baseline/concurrency-4/repeat-0/HumanEval_2.json,e7733a0cb8c18b0c237d36e5c44e5239ffba6484a726f0b647e615b31538ed17,2ad3b3469c81ea509bb87142f5d1c5ce8338f952634e20860c8b7837c77d342f
HumanEval/3,humaneval_plus,0,True,True,True,stop,stop,157,157,0.9603484045258139,0.9603484045258138,results/baseline/concurrency-1/repeat-0/HumanEval_3.json,results/baseline/concurrency-4/repeat-0/HumanEval_3.json,ced58886fae7080796b1d2a659140c9dc252ba4a10c6ca843dd2ea2f47d0b7c0,5813ac196e2e1861c0e9f7717b7215f04eba6575e72d00faa2d908193bbef9f9
HumanEval/4,humaneval_plus,0,True,True,True,stop,stop,172,172,0.9600178093419698,0.9600178093419698,results/baseline/concurrency-1/repeat-0/HumanEval_4.json,results/baseline/concurrency-4/repeat-0/HumanEval_4.json,ebc77877120597cd3130f5337ba9888c8232f729333f9a36e6c793bfe6a2d2b8,5f1c4f39608664a704f96a35d00621c0f6a089da30ac59e8eecab136a00f71a7
HumanEval/5,humaneval_plus,0,True,True,True,stop,stop,154,154,0.9584713028226369,0.9584713028226369,results/baseline/concurrency-1/repeat-0/HumanEval_5.json,results/baseline/concurrency-4/repeat-0/HumanEval_5.json,f0671927d0f4f4d931bf292b86d0a2b109ee09d96d1eded7183feca95cf9436a,1ceefbf20288daefbd08ef5189d7d214e90b49532b674305cb01212a9dacb9c3
HumanEval/6,humaneval_plus,0,True,True,True,stop,stop,229,229,0.9607334076850195,0.9607334076850195,results/baseline/concurrency-1/repeat-0/HumanEval_6.json,results/baseline/concurrency-4/repeat-0/HumanEval_6.json,80e3b15e2d3d8f04d3b0061b2e413c3640e241c54c53a8ccb8ae96a993c92d47,1a4db30d2fcdda3bbb96963b2b90610c0bbd4f124e1f6d02a319e023d776bb90
HumanEval/7,humaneval_plus,0,True,True,True,stop,stop,112,112,0.958986871965463,0.9589868719654628,results/baseline/concurrency-1/repeat-0/HumanEval_7.json,results/baseline/concurrency-4/repeat-0/HumanEval_7.json,f4d3fe849276d2c572216527b543214c270ffe08d80685019330fa376f6c8378,3cea6699568365c5b72aa7c855e528ed2bb08a3457f7e662f3a3dd67abce08ba
HumanEval/8,humaneval_plus,0,True,True,True,stop,stop,163,163,0.9577600594435166,0.9577600594435166,results/baseline/concurrency-1/repeat-0/HumanEval_8.json,results/baseline/concurrency-4/repeat-0/HumanEval_8.json,7368edc9ed2af3df8086a068b19dcad9607ad1f7031e8faea2ebd8823298caee,5620359df0bbb080816f876907003578787dd2dec488fd61c1b45dcedbaa57dc
HumanEval/9,humaneval_plus,0,True,True,True,stop,stop,162,162,0.95735488313328,0.95735488313328,results/baseline/concurrency-1/repeat-0/HumanEval_9.json,results/baseline/concurrency-4/repeat-0/HumanEval_9.json,7bc4731ef2880bfa259f211cd0151070e6bf80b981b8513c1d57d14819ef25ac,541465568d34c3b340a99b07f79dfd6993bf6a3c2fee8bb01e8eb19e65c57d7e
