task_id,dataset,repetition,reference_correct,candidate_correct,same_content,reference_finish,candidate_finish,reference_tokens,candidate_tokens,latency_ratio_reference_over_candidate,tps_ratio_candidate_over_reference,reference_record,candidate_record,reference_sha256,candidate_sha256
HumanEval/0,humaneval_plus,0,True,True,True,stop,stop,177,177,0.39062264813379144,0.39062264813379144,results/dflash15/concurrency-1/repeat-0/HumanEval_0.json,results/dflash15/concurrency-8/repeat-0/HumanEval_0.json,6194377cc102e93c239f85e252627cb040e1325be3d7416c6504eae07cc08811,823330e3daa7daa1f2d595f30874c0e0a43af68afbb0c921d7fe6a16fe02e534
HumanEval/1,humaneval_plus,0,True,False,False,stop,length,230,4096,0.02482126758789813,0.44203440017404677,results/dflash15/concurrency-1/repeat-0/HumanEval_1.json,results/dflash15/concurrency-8/repeat-0/HumanEval_1.json,a21d1930781a508d0f55641df0bcfd57928c2fb7f9acb4735d393ce5ee9eded9,2d42b5bc074b37b2e8651f8408387c2f5670f9ff41874bb3ea70e9a1ddcc8124
HumanEval/2,humaneval_plus,0,True,False,False,stop,length,97,4096,0.014748772636899528,0.6227935332035099,results/dflash15/concurrency-1/repeat-0/HumanEval_2.json,results/dflash15/concurrency-8/repeat-0/HumanEval_2.json,f648daa3f61457d6f1face2ce8e5fdbe6a056a51d4b0d41d03862bacaddfd12e,c24ec92063449be19ebbd1184c0c63e157cb2a060a5871e1b185f274c15b1e1a
HumanEval/3,humaneval_plus,0,True,False,False,stop,length,157,4096,0.004062890929433519,0.10599746017171782,results/dflash15/concurrency-1/repeat-0/HumanEval_3.json,results/dflash15/concurrency-8/repeat-0/HumanEval_3.json,40d7c5d31ae61d9d24ab7137308e72c050db0458082381cef9c07bb287ed9af6,78c4783ceb5cb383d8717983d00826d70270a607e4d3541a8baa968b5c2cbf69
HumanEval/4,humaneval_plus,0,True,False,False,stop,length,172,4096,0.01858916545238328,0.4426815214707089,results/dflash15/concurrency-1/repeat-0/HumanEval_4.json,results/dflash15/concurrency-8/repeat-0/HumanEval_4.json,85ca8da7a592a796971626744bb60bf6a1fd0333795d32830adfed71030d7a91,9b3d618da23d7abccacf261b528eb21f7244febfcc8e9aa0be6fcb5726063354
HumanEval/5,humaneval_plus,0,True,False,False,stop,length,154,4096,0.015653055488260355,0.41633061870074295,results/dflash15/concurrency-1/repeat-0/HumanEval_5.json,results/dflash15/concurrency-8/repeat-0/HumanEval_5.json,3184760bbb5c780236fd3a3a5056c3d65babbf9f28511de40fb318ba7a603b13,80179fb4ec6cfa3e51e2673272a494af9bcb82cabfbcec933e0787e3bc014633
HumanEval/6,humaneval_plus,0,True,False,False,stop,length,229,4096,0.017296552900101667,0.30937415143587965,results/dflash15/concurrency-1/repeat-0/HumanEval_6.json,results/dflash15/concurrency-8/repeat-0/HumanEval_6.json,f7c4c397b6a1e9ae339f5f95838d7d7f954e5abefc424ee48baef3758ccd875b,af8cb2b596e452d8b72e0cb02236eb5e97c2eaf8a66c88af7a4f338254dfbeb5
HumanEval/7,humaneval_plus,0,True,False,False,stop,stop,112,309,0.13689297311791854,0.37767793476282885,results/dflash15/concurrency-1/repeat-0/HumanEval_7.json,results/dflash15/concurrency-8/repeat-0/HumanEval_7.json,33ac99efd786f33863af08dea20ba9dea5ae62c407c9de99c4e2563137dfbf11,346bb58e47dba1077d7cac49f89f5079834c9e462b089f6b912ded45ba1b25f0
HumanEval/8,humaneval_plus,0,True,True,False,stop,stop,163,378,0.15538659464650995,0.36034437286123167,results/dflash15/concurrency-1/repeat-0/HumanEval_8.json,results/dflash15/concurrency-8/repeat-0/HumanEval_8.json,2e406d654df4427b50d656a7bcfa18582f6fde95e85bc057ac723b8db073a7de,6b63a026cd76af5e592b5a826b0e0770ed4bb981f16ff872aa810c4365cf44f0
HumanEval/9,humaneval_plus,0,True,False,False,stop,stop,162,249,0.16100051984684438,0.24746376198681636,results/dflash15/concurrency-1/repeat-0/HumanEval_9.json,results/dflash15/concurrency-8/repeat-0/HumanEval_9.json,90a80bba87d4ea6fee3256745adfdca8daabbfa0703b6d75a88b910e7f729227,e5fa7ed855763a86cfa2991dfe058027c741b7d80885acab3b5bfc1b87a14ad3
HumanEval/10,humaneval_plus,0,True,True,False,stop,stop,342,420,0.45294334760646837,0.5562462163588208,results/dflash15/concurrency-1/repeat-0/HumanEval_10.json,results/dflash15/concurrency-8/repeat-0/HumanEval_10.json,bf2f3e70e5c2d5ac61cbf2a79e28e4f90c3c72ac0e253b29c4a0b42651511324,228230cdfad2bfa75f58e61f97c05662b1e65776d7d964438e09c210eb09b810
HumanEval/11,humaneval_plus,0,True,True,False,stop,stop,140,410,0.1023454343063711,0.2997259147543725,results/dflash15/concurrency-1/repeat-0/HumanEval_11.json,results/dflash15/concurrency-8/repeat-0/HumanEval_11.json,f9be0db1697d7995a73e3696b471df03ac0d7f493b32ef31dd5184b3e277f458,5d7cbac2e2163817e6d9146906ffeeb14c0b6be2acb1e720b5e5f97997e6e455
HumanEval/12,humaneval_plus,0,True,False,False,stop,length,161,4096,0.013711599296810015,0.34883671254493054,results/dflash15/concurrency-1/repeat-0/HumanEval_12.json,results/dflash15/concurrency-8/repeat-0/HumanEval_12.json,27a0d589483cf88b82db0653435b766cfbc43f893face0c141959e937a87098d,0d8b50b6ce00aca4bcc04966fdb40a8b435ba84fd1929a7257800b7eb04c2c72
HumanEval/13,humaneval_plus,0,True,False,False,stop,stop,109,2652,0.016441106605978376,0.40001664879866655,results/dflash15/concurrency-1/repeat-0/HumanEval_13.json,results/dflash15/concurrency-8/repeat-0/HumanEval_13.json,c0163187e92af18f95eb0462f3933f2ae61532ff71f4ae183ee459890f0bfb66,bb37474e8ce40b65b1b62aa375a3c0eaf744af022abc188263bc566690e2a31e
HumanEval/14,humaneval_plus,0,True,False,False,stop,length,79,4096,0.010187209934390864,0.5281874922944936,results/dflash15/concurrency-1/repeat-0/HumanEval_14.json,results/dflash15/concurrency-8/repeat-0/HumanEval_14.json,eb4c6e53eaf839f79a9dc283298fc712898b164b2b47533adf4ea25b2a0aad02,f80fe921cf4d2a609e4454811dba086b56ce49bb64d77c21b7a35221ea2214c8
HumanEval/15,humaneval_plus,0,True,False,False,stop,length,92,4096,0.008652529809731946,0.38522567500719623,results/dflash15/concurrency-1/repeat-0/HumanEval_15.json,results/dflash15/concurrency-8/repeat-0/HumanEval_15.json,d8f43528e6f1275e799a363c93a36ca27bd1998d139e70cd9e69c765408aa343,8511d58ad6d0b3436fa9f6370f1da6044779a91e6b731167a21b40323fb633a3
HumanEval/16,humaneval_plus,0,True,False,False,stop,length,122,4096,0.013057343440566157,0.4383842519062211,results/dflash15/concurrency-1/repeat-0/HumanEval_16.json,results/dflash15/concurrency-8/repeat-0/HumanEval_16.json,d5ffe464088dc152f488969e4a7e83c96a125d94a49a7c829fb96678a8d373a5,edf4d2577e4729096d2e6737d46d5797f1c6b176236e3586c93c0f500d766dd1
